proba_mora_xgb_cal,aprobacion_xgb_cal
0.006557377055287361,1
0.03733602538704872,1
0.17177914083003998,0
0.006557377055287361,1
0.40441176295280457,0
0.0,1
0.03579418361186981,1
0.17177914083003998,0
0.03733602538704872,1
0.28977271914482117,0
0.015471166931092739,1
0.11031175404787064,0
0.03579418361186981,1
0.03733602538704872,1
0.0882352963089943,0
0.40441176295280457,0
0.006557377055287361,1
0.03733602538704872,1
0.0882352963089943,0
0.03733602538704872,1
0.015471166931092739,1
0.17475728690624237,0
0.03579418361186981,1
0.03733602538704872,1
0.11031175404787064,0
0.03733602538704872,1
0.0882352963089943,0
0.015267175622284412,1
0.11031175404787064,0
0.03733602538704872,1
0.006557377055287361,1
0.015471166931092739,1
0.17177914083003998,0
0.0882352963089943,0
0.015471166931092739,1
0.019455252215266228,1
0.08759123831987381,0
0.40441176295280457,0
0.019455252215266228,1
0.40441176295280457,0
0.2945736348628998,0
0.03733602538704872,1
0.08759123831987381,0
0.006557377055287361,1
0.015471166931092739,1
0.03733602538704872,1
0.007021412719041109,1
0.015471166931092739,1
0.03733602538704872,1
0.11914893984794617,0
0.015471166931092739,1
0.03733602538704872,1
0.00826446246355772,1
0.11031175404787064,0
0.015267175622284412,1
0.015471166931092739,1
0.00826446246355772,1
0.00826446246355772,1
0.015471166931092739,1
0.0,1
0.08759123831987381,0
0.11031175404787064,0
0.006557377055287361,1
0.0882352963089943,0
0.03733602538704872,1
0.11914893984794617,0
0.40441176295280457,0
0.0,1
0.057553958147764206,0
0.019455252215266228,1
0.006557377055287361,1
0.03733602538704872,1
0.015267175622284412,1
0.006557377055287361,1
0.13114753365516663,0
0.057553958147764206,0
0.03579418361186981,1
0.08214285969734192,0
0.00826446246355772,1
0.015471166931092739,1
0.03579418361186981,1
0.17177914083003998,0
0.03733602538704872,1
0.17177914083003998,0
0.03733602538704872,1
0.03579418361186981,1
0.015471166931092739,1
0.015471166931092739,1
0.03733602538704872,1
0.015471166931092739,1
0.015471166931092739,1
0.03733602538704872,1
0.006557377055287361,1
0.03733602538704872,1
0.03733602538704872,1
0.019455252215266228,1
0.03733602538704872,1
0.03733602538704872,1
0.015471166931092739,1
0.03733602538704872,1
0.03733602538704872,1
0.13114753365516663,0
0.0882352963089943,0
0.006557377055287361,1
0.40441176295280457,0
0.2945736348628998,0
0.08759123831987381,0
0.11031175404787064,0
0.40441176295280457,0
0.28977271914482117,0
0.015471166931092739,1
0.03733602538704872,1
0.006557377055287361,1
0.03733602538704872,1
0.03733602538704872,1
0.015471166931092739,1
0.11031175404787064,0
0.03733602538704872,1
0.11031175404787064,0
0.015471166931092739,1
0.0882352963089943,0
0.057553958147764206,0
0.03579418361186981,1
0.17475728690624237,0
0.17177914083003998,0
0.2945736348628998,0
0.11914893984794617,0
0.2945736348628998,0
0.11914893984794617,0
0.006557377055287361,1
0.03733602538704872,1
0.0882352963089943,0
0.03733602538704872,1
0.00826446246355772,1
0.0882352963089943,0
0.08759123831987381,0
0.015267175622284412,1
0.019455252215266228,1
0.03579418361186981,1
0.08214285969734192,0
0.006557377055287361,1
0.03733602538704872,1
0.08759123831987381,0
0.03733602538704872,1
0.11914893984794617,0
0.11031175404787064,0
0.0882352963089943,0
0.019455252215266228,1
0.03733602538704872,1
0.40441176295280457,0
0.015267175622284412,1
0.019455252215266228,1
0.006557377055287361,1
0.11031175404787064,0
0.11031175404787064,0
0.08759123831987381,0
0.00826446246355772,1
0.015471166931092739,1
0.00826446246355772,1
0.00826446246355772,1
0.00826446246355772,1
0.015471166931092739,1
0.03733602538704872,1
0.08214285969734192,0
0.019455252215266228,1
0.08214285969734192,0
0.03733602538704872,1
0.0882352963089943,0
0.03733602538704872,1
0.015267175622284412,1
0.03733602538704872,1
0.03733602538704872,1
0.032608695328235626,1
0.019455252215266228,1
0.0882352963089943,0
0.019455252215266228,1
0.006557377055287361,1
0.015471166931092739,1
0.019455252215266228,1
0.006557377055287361,1
0.057553958147764206,0
0.03733602538704872,1
0.015471166931092739,1
0.0882352963089943,0
0.015471166931092739,1
0.0882352963089943,0
0.08759123831987381,0
0.03733602538704872,1
0.015267175622284412,1
0.03579418361186981,1
0.006557377055287361,1
0.019455252215266228,1
0.03579418361186981,1
0.033021025359630585,1
0.015471166931092739,1
0.11031175404787064,0
0.08214285969734192,0
0.17177914083003998,0
0.006557377055287361,1
0.11031175404787064,0
0.03733602538704872,1
0.057553958147764206,0
0.40441176295280457,0
0.17177914083003998,0
0.03733602538704872,1
0.00826446246355772,1
0.015471166931092739,1
0.40441176295280457,0
0.17177914083003998,0
0.015471166931092739,1
0.28977271914482117,0
0.17177914083003998,0
0.11914893984794617,0
0.11031175404787064,0
0.006557377055287361,1
0.032608695328235626,1
0.00826446246355772,1
0.006557377055287361,1
0.17177914083003998,0
0.11031175404787064,0
0.015471166931092739,1
0.17177914083003998,0
0.00826446246355772,1
0.08759123831987381,0
0.17177914083003998,0
0.03733602538704872,1
0.015471166931092739,1
0.00826446246355772,1
0.00826446246355772,1
0.17177914083003998,0
0.08759123831987381,0
0.08214285969734192,0
0.015471166931092739,1
0.032608695328235626,1
0.40441176295280457,0
0.00826446246355772,1
0.00826446246355772,1
0.03579418361186981,1
0.17177914083003998,0
0.13114753365516663,0
0.08214285969734192,0
0.03733602538704872,1
0.019455252215266228,1
0.03733602538704872,1
0.11914893984794617,0
0.08214285969734192,0
0.032608695328235626,1
0.11031175404787064,0
0.00826446246355772,1
0.03733602538704872,1
0.28977271914482117,0
0.03733602538704872,1
0.019455252215266228,1
0.03733602538704872,1
0.015471166931092739,1
0.08759123831987381,0
0.015471166931092739,1
0.11914893984794617,0
0.08214285969734192,0
0.03733602538704872,1
0.11031175404787064,0
0.17177914083003998,0
0.03733602538704872,1
0.03579418361186981,1
0.13114753365516663,0
0.032608695328235626,1
0.019455252215266228,1
0.08759123831987381,0
0.0,1
0.2945736348628998,0
0.00826446246355772,1
0.11914893984794617,0
0.11031175404787064,0
0.2945736348628998,0
0.08759123831987381,0
0.03733602538704872,1
0.03733602538704872,1
0.03733602538704872,1
0.08214285969734192,0
0.03579418361186981,1
0.03733602538704872,1
0.03579418361186981,1
0.03579418361186981,1
0.17177914083003998,0
0.08759123831987381,0
0.019455252215266228,1
0.03579418361186981,1
0.03733602538704872,1
0.015471166931092739,1
0.40441176295280457,0
0.17177914083003998,0
0.03579418361186981,1
0.28977271914482117,0
0.08214285969734192,0
0.11031175404787064,0
0.08214285969734192,0
0.015267175622284412,1
0.006557377055287361,1
0.03579418361186981,1
0.11914893984794617,0
0.17177914083003998,0
0.006557377055287361,1
0.11031175404787064,0
0.019455252215266228,1
0.2945736348628998,0
0.015471166931092739,1
0.006557377055287361,1
0.08759123831987381,0
0.11031175404787064,0
0.015471166931092739,1
0.28977271914482117,0
0.015471166931092739,1
0.11031175404787064,0
0.13114753365516663,0
0.2945736348628998,0
0.00826446246355772,1
0.015471166931092739,1
0.03733602538704872,1
0.08214285969734192,0
0.019455252215266228,1
0.03579418361186981,1
0.11031175404787064,0
0.11914893984794617,0
0.015471166931092739,1
0.08759123831987381,0
0.17177914083003998,0
0.11914893984794617,0
0.11031175404787064,0
0.057553958147764206,0
0.015471166931092739,1
0.2945736348628998,0
0.03733602538704872,1
0.17475728690624237,0
0.03733602538704872,1
0.0882352963089943,0
0.032608695328235626,1
0.0882352963089943,0
0.015471166931092739,1
0.17177914083003998,0
0.08759123831987381,0
0.40441176295280457,0
0.28977271914482117,0
0.11031175404787064,0
0.015471166931092739,1
0.03733602538704872,1
0.03579418361186981,1
0.07692307978868484,0
0.08759123831987381,0
0.11914893984794617,0
0.11914893984794617,0
0.006557377055287361,1
0.40441176295280457,0
0.08214285969734192,0
0.03733602538704872,1
0.015471166931092739,1
0.03579418361186981,1
0.08759123831987381,0
0.00826446246355772,1
0.03733602538704872,1
0.03733602538704872,1
0.2945736348628998,0
0.13114753365516663,0
0.015471166931092739,1
0.11914893984794617,0
0.17475728690624237,0
0.08214285969734192,0
0.03733602538704872,1
0.015471166931092739,1
0.03733602538704872,1
0.019455252215266228,1
0.08759123831987381,0
0.08214285969734192,0
0.057553958147764206,0
0.28977271914482117,0
0.08759123831987381,0
0.28977271914482117,0
0.11031175404787064,0
0.015471166931092739,1
0.015471166931092739,1
0.015471166931092739,1
0.0882352963089943,0
0.019455252215266228,1
0.015471166931092739,1
0.019455252215266228,1
0.00826446246355772,1
0.03733602538704872,1
0.03733602538704872,1
0.0882352963089943,0
0.057553958147764206,0
0.0882352963089943,0
0.2945736348628998,0
0.019455252215266228,1
0.015471166931092739,1
0.08759123831987381,0
0.13114753365516663,0
0.08759123831987381,0
0.08759123831987381,0
0.006557377055287361,1
0.015471166931092739,1
0.11031175404787064,0
0.11031175404787064,0
0.2945736348628998,0
0.03733602538704872,1
0.28977271914482117,0
0.00826446246355772,1
0.08759123831987381,0
0.015471166931092739,1
0.0882352963089943,0
0.015471166931092739,1
0.006557377055287361,1
0.0882352963089943,0
0.00826446246355772,1
0.03733602538704872,1
0.015471166931092739,1
0.11914893984794617,0
0.17177914083003998,0
0.019455252215266228,1
0.03579418361186981,1
0.019455252215266228,1
0.03733602538704872,1
0.057553958147764206,0
0.03733602538704872,1
0.13114753365516663,0
0.2945736348628998,0
0.0882352963089943,0
0.015471166931092739,1
0.13114753365516663,0
0.03733602538704872,1
0.11914893984794617,0
0.03733602538704872,1
0.0882352963089943,0
0.015471166931092739,1
0.015471166931092739,1
0.08214285969734192,0
0.006557377055287361,1
0.03733602538704872,1
0.019455252215266228,1
0.015471166931092739,1
0.11914893984794617,0
0.03579418361186981,1
0.015471166931092739,1
0.057553958147764206,0
0.40441176295280457,0
0.17177914083003998,0
0.03733602538704872,1
0.03733602538704872,1
0.03733602538704872,1
0.11914893984794617,0
0.0,1
0.03733602538704872,1
0.08759123831987381,0
0.11031175404787064,0
0.40441176295280457,0
0.0,1
0.00826446246355772,1
0.03579418361186981,1
0.0882352963089943,0
0.015471166931092739,1
0.11914893984794617,0
0.11031175404787064,0
0.17177914083003998,0
0.17177914083003998,0
0.11031175404787064,0
0.11031175404787064,0
0.03733602538704872,1
0.11031175404787064,0
0.03733602538704872,1
0.0882352963089943,0
0.019455252215266228,1
0.015471166931092739,1
0.00826446246355772,1
0.00826446246355772,1
0.015471166931092739,1
0.006557377055287361,1
0.11031175404787064,0
0.08214285969734192,0
0.03733602538704872,1
0.11031175404787064,0
0.03579418361186981,1
0.11031175404787064,0
0.019455252215266228,1
0.40441176295280457,0
0.03733602538704872,1
0.08214285969734192,0
0.03733602538704872,1
0.006557377055287361,1
0.015471166931092739,1
0.006557377055287361,1
0.11914893984794617,0
0.03733602538704872,1
0.08214285969734192,0
0.015471166931092739,1
0.11031175404787064,0
0.0882352963089943,0
0.40441176295280457,0
0.032982151955366135,1
0.03579418361186981,1
0.015471166931092739,1
0.019455252215266228,1
0.015267175622284412,1
0.0882352963089943,0
0.015471166931092739,1
0.03733602538704872,1
0.0882352963089943,0
0.006557377055287361,1
0.03733602538704872,1
0.015471166931092739,1
0.015267175622284412,1
0.015471166931092739,1
0.08759123831987381,0
0.015471166931092739,1
0.03733602538704872,1
0.11031175404787064,0
0.03579418361186981,1
0.11914893984794617,0
0.11031175404787064,0
0.11914893984794617,0
0.03733602538704872,1
0.019455252215266228,1
0.28977271914482117,0
0.057553958147764206,0
0.03579418361186981,1
0.03733602538704872,1
0.03579418361186981,1
0.11031175404787064,0
0.2945736348628998,0
0.03579418361186981,1
0.00826446246355772,1
0.08782847970724106,0
0.08759123831987381,0
0.0882352963089943,0
0.03733602538704872,1
0.03733602538704872,1
0.03579418361186981,1
0.28977271914482117,0
0.015471166931092739,1
0.006557377055287361,1
0.11031175404787064,0
0.11031175404787064,0
0.17177914083003998,0
0.0882352963089943,0
0.11914893984794617,0
0.28977271914482117,0
0.17177914083003998,0
0.17177914083003998,0
0.015471166931092739,1
0.17177914083003998,0
0.03733602538704872,1
0.2945736348628998,0
0.08214285969734192,0
0.11031175404787064,0
0.11031175404787064,0
0.08214285969734192,0
0.03733602538704872,1
0.11031175404787064,0
0.019455252215266228,1
0.015267175622284412,1
0.08759123831987381,0
0.03733602538704872,1
0.015471166931092739,1
0.015471166931092739,1
0.08214285969734192,0
0.11031175404787064,0
0.08759123831987381,0
0.11914893984794617,0
0.015471166931092739,1
0.03733602538704872,1
0.03733602538704872,1
0.03733602538704872,1
0.40441176295280457,0
0.019455252215266228,1
0.2945736348628998,0
0.03733602538704872,1
0.07692307978868484,0
0.03733602538704872,1
0.03733602538704872,1
0.08759123831987381,0
0.03733602538704872,1
0.03579418361186981,1
0.11031175404787064,0
0.015471166931092739,1
0.03733602538704872,1
0.03733602538704872,1
0.015471166931092739,1
0.00826446246355772,1
0.00826446246355772,1
0.03733602538704872,1
0.17475728690624237,0
0.03733602538704872,1
0.057553958147764206,0
0.03579418361186981,1
0.11914893984794617,0
0.006557377055287361,1
0.03733602538704872,1
0.03733602538704872,1
0.032608695328235626,1
0.00826446246355772,1
0.015267175622284412,1
0.0882352963089943,0
0.11031175404787064,0
0.015471166931092739,1
0.03579418361186981,1
0.08214285969734192,0
0.006557377055287361,1
0.03733602538704872,1
0.015471166931092739,1
0.0882352963089943,0
0.03579418361186981,1
0.019455252215266228,1
0.13114753365516663,0
0.00826446246355772,1
0.08759123831987381,0
0.03733602538704872,1
0.07256634533405304,0
0.015471166931092739,1
0.03579418361186981,1
0.03733602538704872,1
0.08759123831987381,0
0.00826446246355772,1
0.03733602538704872,1
0.03733602538704872,1
0.11031175404787064,0
0.03579418361186981,1
0.11031175404787064,0
0.13114753365516663,0
0.03733602538704872,1
0.08214285969734192,0
0.015471166931092739,1
0.03733602538704872,1
0.00826446246355772,1
0.03733602538704872,1
0.08214285969734192,0
0.0882352963089943,0
0.00826446246355772,1
0.03733602538704872,1
0.17475728690624237,0
0.17177914083003998,0
0.015471166931092739,1
0.03733602538704872,1
0.0882352963089943,0
0.03733602538704872,1
0.015471166931092739,1
0.3333333432674408,0
0.0882352963089943,0
0.03579418361186981,1
0.00826446246355772,1
0.03733602538704872,1
0.0882352963089943,0
0.006557377055287361,1
0.03733602538704872,1
0.28977271914482117,0
0.032608695328235626,1
0.08214285969734192,0
0.08214285969734192,0
0.03733602538704872,1
0.015471166931092739,1
0.17475728690624237,0
0.00826446246355772,1
0.03733602538704872,1
0.08214285969734192,0
0.0882352963089943,0
0.015471166931092739,1
0.08759123831987381,0
0.11031175404787064,0
0.03733602538704872,1
0.03733602538704872,1
0.03733602538704872,1
0.006557377055287361,1
0.032608695328235626,1
0.2631579041481018,0
0.03733602538704872,1
0.015471166931092739,1
0.057553958147764206,0
0.11914893984794617,0
0.006557377055287361,1
0.17177914083003998,0
0.03733602538704872,1
0.00826446246355772,1
0.019455252215266228,1
0.006557377055287361,1
0.03733602538704872,1
0.28977271914482117,0
0.006557377055287361,1
0.00826446246355772,1
0.17177914083003998,0
0.11914893984794617,0
0.11031175404787064,0
0.0714285746216774,0
0.057553958147764206,0
0.28977271914482117,0
0.0882352963089943,0
0.006557377055287361,1
0.03733602538704872,1
0.08214285969734192,0
0.015471166931092739,1
0.17177914083003998,0
0.03733602538704872,1
0.057553958147764206,0
0.11031175404787064,0
0.17177914083003998,0
0.03733602538704872,1
0.015267175622284412,1
0.00826446246355772,1
0.08214285969734192,0
0.03733602538704872,1
0.08214285969734192,0
0.015471166931092739,1
0.015471166931092739,1
0.08759123831987381,0
0.015471166931092739,1
0.03579418361186981,1
0.08759123831987381,0
0.08214285969734192,0
0.03733602538704872,1
0.40441176295280457,0
0.08759123831987381,0
0.015471166931092739,1
0.03733602538704872,1
0.08214285969734192,0
0.11031175404787064,0
0.0882352963089943,0
0.00826446246355772,1
0.03733602538704872,1
0.057553958147764206,0
0.03579418361186981,1
0.17475728690624237,0
0.03733602538704872,1
0.006557377055287361,1
0.0882352963089943,0
0.03579418361186981,1
0.019455252215266228,1
0.015471166931092739,1
0.40441176295280457,0
0.03579418361186981,1
0.03579418361186981,1
0.2945736348628998,0
0.019455252215266228,1
0.08214285969734192,0
0.28977271914482117,0
0.019455252215266228,1
0.11031175404787064,0
0.03733602538704872,1
0.00826446246355772,1
0.00826446246355772,1
0.03579418361186981,1
0.40441176295280457,0
0.057553958147764206,0
0.015267175622284412,1
0.11914893984794617,0
0.03733602538704872,1
0.03733602538704872,1
0.00826446246355772,1
0.03733602538704872,1
0.40441176295280457,0
0.17177914083003998,0
0.015267175622284412,1
0.015471166931092739,1
0.03579418361186981,1
0.08759123831987381,0
0.03733602538704872,1
0.17177914083003998,0
0.08759123831987381,0
0.08759123831987381,0
0.006557377055287361,1
0.11031175404787064,0
0.03579418361186981,1
0.11031175404787064,0
0.006557377055287361,1
0.0882352963089943,0
0.057553958147764206,0
0.03579418361186981,1
0.015471166931092739,1
0.08759123831987381,0
0.015471166931092739,1
0.08759123831987381,0
0.17177914083003998,0
0.11914893984794617,0
0.28977271914482117,0
0.00826446246355772,1
0.03733602538704872,1
0.0882352963089943,0
0.057553958147764206,0
0.0714285746216774,0
0.03579418361186981,1
0.03733602538704872,1
0.032608695328235626,1
0.08759123831987381,0
0.015471166931092739,1
0.006557377055287361,1
0.08214285969734192,0
0.03579418361186981,1
0.11914893984794617,0
0.40441176295280457,0
0.28977271914482117,0
0.00826446246355772,1
0.00826446246355772,1
0.17177914083003998,0
0.03733602538704872,1
0.11031175404787064,0
0.11031175404787064,0
0.00826446246355772,1
0.03733602538704872,1
0.015471166931092739,1
0.11031175404787064,0
0.08214285969734192,0
0.11031175404787064,0
0.03733602538704872,1
0.015471166931092739,1
0.40441176295280457,0
0.17475728690624237,0
0.17177914083003998,0
0.03733602538704872,1
0.28977271914482117,0
0.03733602538704872,1
0.17177914083003998,0
0.03733602538704872,1
0.015471166931092739,1
0.08784342557191849,0
0.00826446246355772,1
0.015471166931092739,1
0.00826446246355772,1
0.03733602538704872,1
0.015267175622284412,1
0.015267175622284412,1
0.00826446246355772,1
0.40441176295280457,0
0.0882352963089943,0
0.03733602538704872,1
0.11914893984794617,0
0.015471166931092739,1
0.11031175404787064,0
0.015471166931092739,1
0.015471166931092739,1
0.015471166931092739,1
0.0882352963089943,0
0.11031175404787064,0
0.17177914083003998,0
0.019455252215266228,1
0.11031175404787064,0
0.00826446246355772,1
0.03579418361186981,1
0.019455252215266228,1
0.015471166931092739,1
0.015471166931092739,1
0.08759123831987381,0
0.03733602538704872,1
0.11031175404787064,0
0.019455252215266228,1
0.2945736348628998,0
0.08214285969734192,0
0.019433138892054558,1
0.03579418361186981,1
0.03579418361186981,1
0.006557377055287361,1
0.11031175404787064,0
0.006557377055287361,1
0.008177394047379494,1
0.17177914083003998,0
0.03733602538704872,1
0.006557377055287361,1
0.032608695328235626,1
0.015471166931092739,1
0.0882352963089943,0
0.11031175404787064,0
0.03733602538704872,1
0.019455252215266228,1
0.2945736348628998,0
0.2945736348628998,0
0.11031175404787064,0
0.03733602538704872,1
0.08214285969734192,0
0.08759123831987381,0
0.17475728690624237,0
0.03733602538704872,1
0.03733602538704872,1
0.03733602538704872,1
0.40441176295280457,0
0.17177914083003998,0
0.08759123831987381,0
0.17475728690624237,0
0.015471166931092739,1
0.11031175404787064,0
0.03733602538704872,1
0.03733602538704872,1
0.08214285969734192,0
0.17177914083003998,0
0.13114753365516663,0
0.08214285969734192,0
0.0714285746216774,0
0.015267175622284412,1
0.03733602538704872,1
0.08214285969734192,0
0.032608695328235626,1
0.006557377055287361,1
0.00826446246355772,1
0.08759123831987381,0
0.08759123831987381,0
0.03579418361186981,1
0.03733602538704872,1
0.0,1
0.015471166931092739,1
0.00826446246355772,1
0.03733602538704872,1
0.2945736348628998,0
0.006557377055287361,1
0.11914893984794617,0
0.015471166931092739,1
0.03733602538704872,1
0.015267175622284412,1
0.08759123831987381,0
0.03733602538704872,1
0.03733602538704872,1
0.0882352963089943,0
0.03733602538704872,1
0.032608695328235626,1
0.28977271914482117,0
0.03579418361186981,1
0.17177914083003998,0
0.015471166931092739,1
0.2945736348628998,0
0.17475728690624237,0
0.019455252215266228,1
0.03733602538704872,1
0.019455252215266228,1
0.28977271914482117,0
0.03733602538704872,1
0.08759123831987381,0
0.019455252215266228,1
0.11914893984794617,0
0.11914893984794617,0
0.0882352963089943,0
0.015471166931092739,1
0.019455252215266228,1
0.28977271914482117,0
0.015471166931092739,1
0.006557377055287361,1
0.019455252215266228,1
0.11031175404787064,0
0.17475728690624237,0
0.03579418361186981,1
0.17177914083003998,0
0.019455252215266228,1
0.015471166931092739,1
0.40441176295280457,0
0.057553958147764206,0
0.03733602538704872,1
0.0882352963089943,0
0.03733602538704872,1
0.00826446246355772,1
0.0882352963089943,0
0.08214285969734192,0
0.015471166931092739,1
0.03733602538704872,1
0.11914893984794617,0
0.03733602538704872,1
0.032608695328235626,1
0.006557377055287361,1
0.2945736348628998,0
0.40441176295280457,0
0.03733602538704872,1
0.17177914083003998,0
0.03733602538704872,1
0.17177914083003998,0
0.015471166931092739,1
0.03733602538704872,1
0.11031175404787064,0
0.08214285969734192,0
0.28977271914482117,0
0.08214285969734192,0
0.0882352963089943,0
0.019455252215266228,1
0.03579418361186981,1
0.03733602538704872,1
0.00826446246355772,1
0.03579418361186981,1
0.03733602538704872,1
0.015267175622284412,1
0.006557377055287361,1
0.17177914083003998,0
0.11031175404787064,0
0.006557377055287361,1
0.11914893984794617,0
0.08214285969734192,0
0.03579418361186981,1
0.03579418361186981,1
0.00826446246355772,1
0.0882352963089943,0
0.032608695328235626,1
0.03733602538704872,1
0.057553958147764206,0
0.03733602538704872,1
0.015471166931092739,1
0.03733602538704872,1
0.03733602538704872,1
0.17177914083003998,0
0.03579418361186981,1
0.015471166931092739,1
0.08214285969734192,0
0.08214285969734192,0
0.00826446246355772,1
0.17177914083003998,0
0.015471166931092739,1
0.17475728690624237,0
0.2945736348628998,0
0.0882352963089943,0
0.11031175404787064,0
0.11914893984794617,0
0.006557377055287361,1
0.28977271914482117,0
0.11031175404787064,0
0.015267175622284412,1
0.019455252215266228,1
0.17177914083003998,0
0.11031175404787064,0
0.08214285969734192,0
0.2945736348628998,0
0.019455252215266228,1
0.00826446246355772,1
0.03733602538704872,1
0.40441176295280457,0
0.019455252215266228,1
0.015471166931092739,1
0.08759123831987381,0
0.0882352963089943,0
0.17177914083003998,0
0.08759123831987381,0
0.03733602538704872,1
0.40441176295280457,0
0.00826446246355772,1
0.13114753365516663,0
0.006557377055287361,1
0.015471166931092739,1
0.03579418361186981,1
0.03733602538704872,1
0.11914893984794617,0
0.11031175404787064,0
0.08759123831987381,0
0.11031175404787064,0
0.03733602538704872,1
0.006557377055287361,1
0.03579418361186981,1
0.11031175404787064,0
0.28977271914482117,0
0.015471166931092739,1
0.015471166931092739,1
0.11914893984794617,0
0.006557377055287361,1
0.11031175404787064,0
0.015471166931092739,1
0.03733602538704872,1
0.03579418361186981,1
0.006557377055287361,1
0.015267175622284412,1
0.03579418361186981,1
0.03733602538704872,1
0.03579418361186981,1
0.17177914083003998,0
0.17177914083003998,0
0.03733602538704872,1
0.015471166931092739,1
0.08214285969734192,0
0.40441176295280457,0
0.015471166931092739,1
0.11031175404787064,0
0.015471166931092739,1
0.11914893984794617,0
0.08759123831987381,0
0.08759123831987381,0
0.019455252215266228,1
0.11914893984794617,0
0.006557377055287361,1
0.03579418361186981,1
0.015471166931092739,1
0.11914893984794617,0
0.032608695328235626,1
